model,ticker,period,test_accuracy,test_sharpe,test_cum_return,test_max_dd,overfit_gap,sharpe_gap
XGB+LSTM+RF (50/30/20),MSFT,ai_boom_2024,0.5403225806451613,2.359052581521075,0.23601243546924766,-0.09566813746868363,0.011677419354838792,-0.4403148421769536
XGB+LSTM+RF (50/30/20),GOOGL,bear_2022,0.46774193548387094,-1.3472307010649012,-0.2500422811931017,-0.31416812746120326,0.10715684994123026,3.592448973735939
XGB+LSTM+RF (50/30/20),GOOGL,recovery_2023,0.532258064516129,1.9922777344077491,0.3453769081747231,-0.18351651280921366,-0.08205886132887802,-3.0643391806501272
XGB+LSTM+RF (50/30/20),GOOGL,ai_boom_2024,0.4032258064516129,-0.8260734429851706,-0.1266149130592097,-0.35770393978594595,0.0687741935483871,-0.06456051023540932
XGB+LSTM+RF (50/30/20),AMZN,bear_2022,0.47580645161290325,0.45719993362810757,0.051365733463952346,-0.25422854004622675,0.026217839885072425,-0.3836638936047093
XGB+LSTM+RF (50/30/20),AMZN,recovery_2023,0.4838709677419355,-0.3924401148602266,-0.09527275182990325,-0.3780197869228983,0.03405731911065413,1.9935491927499165
XGB+LSTM+RF (50/30/20),AMZN,ai_boom_2024,0.5,-1.3650136481601054,-0.16873688109864515,-0.2559181337673889,-0.02400000000000002,1.072527672211876
XGB+LSTM+RF (50/30/20),NVDA,bear_2022,0.45161290322580644,-1.8606056572151413,-0.5176606395298631,-0.6172128291245019,0.08280005223978065,3.9049334217668603
XGB+LSTM+RF (50/30/20),NVDA,recovery_2023,0.5887096774193549,4.13129654975428,1.9636456731865102,-0.10466339623228071,-0.1066379642719445,-4.997876201054908
XGB+LSTM+RF (50/30/20),NVDA,ai_boom_2024,0.5161290322580645,0.6731684382892588,0.1140110522418809,-0.33390029876024097,-0.05212903225806448,-2.3164357460651526
XGB+LSTM+RF (50/30/20),JPM,bear_2022,0.41935483870967744,-2.013714243519465,-0.28519430201829865,-0.37160148218849176,0.07862086979234684,2.9800238815672593
XGB+LSTM+RF (50/30/20),JPM,recovery_2023,0.5483870967741935,0.9061244327766184,0.10162866361984535,-0.13440855556208697,-0.07428351111682296,-1.258816998431591
XGB+LSTM+RF (50/30/20),JPM,ai_boom_2024,0.41935483870967744,-1.469131938888856,-0.1350636313670015,-0.18169904995837094,0.03264516129032258,0.47681620744096
